study_uid,series_uid
1.3.6.1.4.1.14519.5.2.1.6279.6001.289759534306508848209269388603,1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403
1.3.6.1.4.1.14519.5.2.1.6279.6001.203021212653448281775262541232,1.3.6.1.4.1.14519.5.2.1.6279.6001.300246184547502297539521283806
1.3.6.1.4.1.14519.5.2.1.6279.6001.135354380632609557236443907760,1.3.6.1.4.1.14519.5.2.1.6279.6001.259227883564429312164962953756
1.3.6.1.4.1.14519.5.2.1.6279.6001.325608968275343627520297346991,1.3.6.1.4.1.14519.5.2.1.6279.6001.216652640878960522552873394709
1.3.6.1.4.1.14519.5.2.1.6279.6001.223929343925645778515146916755,1.3.6.1.4.1.14519.5.2.1.6279.6001.458525794434429386945463560826
1.3.6.1.4.1.14519.5.2.1.6279.6001.701448858177597192177075232452,1.3.6.1.4.1.14519.5.2.1.6279.6001.137009552031052971596477963106
1.3.6.1.4.1.14519.5.2.1.6279.6001.128331462267861650186674238297,1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943
1.3.6.1.4.1.14519.5.2.1.6279.6001.748854471032735053174016711473,1.3.6.1.4.1.14519.5.2.1.6279.6001.226152078193253087875725735761
1.3.6.1.4.1.14519.5.2.1.6279.6001.272102141116238598947111407982,1.3.6.1.4.1.14519.5.2.1.6279.6001.139030456172925758598108159491
1.3.6.1.4.1.14519.5.2.1.6279.6001.219603183011909533511019563626,1.3.6.1.4.1.14519.5.2.1.6279.6001.892375496445736188832556446335
1.3.6.1.4.1.14519.5.2.1.6279.6001.858300670101158401140123918818,1.3.6.1.4.1.14519.5.2.1.6279.6001.134519406153127654901640638633
1.3.6.1.4.1.14519.5.2.1.6279.6001.201981314170126152586920703158,1.3.6.1.4.1.14519.5.2.1.6279.6001.115386642382564804180764325545
1.3.6.1.4.1.14519.5.2.1.6279.6001.323769537371782501749772855211,1.3.6.1.4.1.14519.5.2.1.6279.6001.299806338046301317870803017534
1.3.6.1.4.1.14519.5.2.1.6279.6001.265390640843728236501931252310,1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831
1.3.6.1.4.1.14519.5.2.1.6279.6001.109666061122737469139155049085,1.3.6.1.4.1.14519.5.2.1.6279.6001.174935793360491516757154875981
1.3.6.1.4.1.14519.5.2.1.6279.6001.126579974603592904802118981222,1.3.6.1.4.1.14519.5.2.1.6279.6001.242624386080831911167122628616
1.3.6.1.4.1.14519.5.2.1.6279.6001.651527937137773549514457517157,1.3.6.1.4.1.14519.5.2.1.6279.6001.200725988589959521302320481687
1.3.6.1.4.1.14519.5.2.1.6279.6001.236473827829552232243074977782,1.3.6.1.4.1.14519.5.2.1.6279.6001.466284753932369813717081722101
1.3.6.1.4.1.14519.5.2.1.6279.6001.145622720063142155634645333747,1.3.6.1.4.1.14519.5.2.1.6279.6001.247769845138587733933485039556
1.3.6.1.4.1.14519.5.2.1.6279.6001.147007934469588183141400115665,1.3.6.1.4.1.14519.5.2.1.6279.6001.300146276266881736689307479986
1.3.6.1.4.1.14519.5.2.1.6279.6001.101860660338020663891435526309,1.3.6.1.4.1.14519.5.2.1.6279.6001.216252660192313507027754194207
1.3.6.1.4.1.14519.5.2.1.6279.6001.198938890575750893735876189224,1.3.6.1.4.1.14519.5.2.1.6279.6001.136830368929967292376608088362
1.3.6.1.4.1.14519.5.2.1.6279.6001.170453435914624225750000821602,1.3.6.1.4.1.14519.5.2.1.6279.6001.102133688497886810253331438797
1.3.6.1.4.1.14519.5.2.1.6279.6001.969325292841504805778529336047,1.3.6.1.4.1.14519.5.2.1.6279.6001.114195693932194925962391697338
1.3.6.1.4.1.14519.5.2.1.6279.6001.728284743932342406301468721019,1.3.6.1.4.1.14519.5.2.1.6279.6001.253322967203074795232627653819
1.3.6.1.4.1.14519.5.2.1.6279.6001.281491059962512876018428810934,1.3.6.1.4.1.14519.5.2.1.6279.6001.151764021165118974848436095034
1.3.6.1.4.1.14519.5.2.1.6279.6001.129889229961080005326707611943,1.3.6.1.4.1.14519.5.2.1.6279.6001.109203031650348694844047454215
1.3.6.1.4.1.14519.5.2.1.6279.6001.225336514441526266989689082116,1.3.6.1.4.1.14519.5.2.1.6279.6001.114914167428485563471327801935
1.3.6.1.4.1.14519.5.2.1.6279.6001.568590496455752271550307195037,1.3.6.1.4.1.14519.5.2.1.6279.6001.323535944958374186208096541480
1.3.6.1.4.1.14519.5.2.1.6279.6001.315896257598312492181693323227,1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345
1.3.6.1.4.1.14519.5.2.1.6279.6001.123757952382514314958340753104,1.3.6.1.4.1.14519.5.2.1.6279.6001.664409965623578819357819577077
1.3.6.1.4.1.14519.5.2.1.6279.6001.226719444846209417020566423366,1.3.6.1.4.1.14519.5.2.1.6279.6001.192256506776434538421891524301
1.3.6.1.4.1.14519.5.2.1.6279.6001.194592222324100678493470529736,1.3.6.1.4.1.14519.5.2.1.6279.6001.167661207884826429102690781600
1.3.6.1.4.1.14519.5.2.1.6279.6001.212173791575971142588528365479,1.3.6.1.4.1.14519.5.2.1.6279.6001.112740418331256326754121315800
1.3.6.1.4.1.14519.5.2.1.6279.6001.721161755719965069770622927051,1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762
1.3.6.1.4.1.14519.5.2.1.6279.6001.112366982107658327153398402250,1.3.6.1.4.1.14519.5.2.1.6279.6001.265453131727473342790950829556
1.3.6.1.4.1.14519.5.2.1.6279.6001.276145303905683401700212326794,1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326
1.3.6.1.4.1.14519.5.2.1.6279.6001.262233919583075373552810415567,1.3.6.1.4.1.14519.5.2.1.6279.6001.215785045378334625097907422785
1.3.6.1.4.1.14519.5.2.1.6279.6001.311453461766047239391876458979,1.3.6.1.4.1.14519.5.2.1.6279.6001.162351539386551708034407968929
1.3.6.1.4.1.14519.5.2.1.6279.6001.136876570107341293094375256847,1.3.6.1.4.1.14519.5.2.1.6279.6001.766881513533845439335142582269
1.3.6.1.4.1.14519.5.2.1.6279.6001.837260510399523070637863582641,1.3.6.1.4.1.14519.5.2.1.6279.6001.238522526736091851696274044574
1.3.6.1.4.1.14519.5.2.1.6279.6001.281149709266012657212003921035,1.3.6.1.4.1.14519.5.2.1.6279.6001.184501854685844606619543150859
1.3.6.1.4.1.14519.5.2.1.6279.6001.194890498394311571938776742465,1.3.6.1.4.1.14519.5.2.1.6279.6001.229860476925100292554329427970
1.3.6.1.4.1.14519.5.2.1.6279.6001.837471965665975230389385298092,1.3.6.1.4.1.14519.5.2.1.6279.6001.168037818448885856452592057286
1.3.6.1.4.1.14519.5.2.1.6279.6001.298180121619674780553933016732,1.3.6.1.4.1.14519.5.2.1.6279.6001.244681063194071446501270815660
1.3.6.1.4.1.14519.5.2.1.6279.6001.148358074732977192643732679421,1.3.6.1.4.1.14519.5.2.1.6279.6001.584871944187559733312703328980
1.3.6.1.4.1.14519.5.2.1.6279.6001.113707792304333965399737722872,1.3.6.1.4.1.14519.5.2.1.6279.6001.297964221542942838344351735414
1.3.6.1.4.1.14519.5.2.1.6279.6001.208001565962486054565606721023,1.3.6.1.4.1.14519.5.2.1.6279.6001.170135352376311821460213875884
1.3.6.1.4.1.14519.5.2.1.6279.6001.694111741408084165729604375833,1.3.6.1.4.1.14519.5.2.1.6279.6001.205113715251629496479289015582
1.3.6.1.4.1.14519.5.2.1.6279.6001.220318312497776009932500036468,1.3.6.1.4.1.14519.5.2.1.6279.6001.206539885154775002929031534291
1.3.6.1.4.1.14519.5.2.1.6279.6001.614525372854817919294823651430,1.3.6.1.4.1.14519.5.2.1.6279.6001.309707676674808510671394142910
1.3.6.1.4.1.14519.5.2.1.6279.6001.333911857799694588686208472307,1.3.6.1.4.1.14519.5.2.1.6279.6001.254921765503801141457177972447
1.3.6.1.4.1.14519.5.2.1.6279.6001.939103340398727679812199945201,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730
1.3.6.1.4.1.14519.5.2.1.6279.6001.826821417415213438164503950143,1.3.6.1.4.1.14519.5.2.1.6279.6001.603166427542096384265514998412
1.3.6.1.4.1.14519.5.2.1.6279.6001.300409677036863686976674785893,1.3.6.1.4.1.14519.5.2.1.6279.6001.205993750485568250373835565680
1.3.6.1.4.1.14519.5.2.1.6279.6001.108965194825990605371103747168,1.3.6.1.4.1.14519.5.2.1.6279.6001.129567032250534530765928856531
1.3.6.1.4.1.14519.5.2.1.6279.6001.173046050032662152275088620852,1.3.6.1.4.1.14519.5.2.1.6279.6001.194246472548954252250399902051
1.3.6.1.4.1.14519.5.2.1.6279.6001.172781764368509306119706213242,1.3.6.1.4.1.14519.5.2.1.6279.6001.285926554490515269336267972830
1.3.6.1.4.1.14519.5.2.1.6279.6001.262372993180687488521371393069,1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484
1.3.6.1.4.1.14519.5.2.1.6279.6001.326240009912333401253143950265,1.3.6.1.4.1.14519.5.2.1.6279.6001.850739282072340578344345230132
1.3.6.1.4.1.14519.5.2.1.6279.6001.129172271455973626256608772850,1.3.6.1.4.1.14519.5.2.1.6279.6001.202643836890896697853521610450
1.3.6.1.4.1.14519.5.2.1.6279.6001.135295547724563274783029730811,1.3.6.1.4.1.14519.5.2.1.6279.6001.308655308958459380153492314021
1.3.6.1.4.1.14519.5.2.1.6279.6001.268490252284941048496256182524,1.3.6.1.4.1.14519.5.2.1.6279.6001.147250707071097813243473865421
1.3.6.1.4.1.14519.5.2.1.6279.6001.221467562933372960599414594591,1.3.6.1.4.1.14519.5.2.1.6279.6001.167919147233131417984739058859
1.3.6.1.4.1.14519.5.2.1.6279.6001.731392422930133359505662856851,1.3.6.1.4.1.14519.5.2.1.6279.6001.162845309248822193437735868939
1.3.6.1.4.1.14519.5.2.1.6279.6001.971476961920773226447199844576,1.3.6.1.4.1.14519.5.2.1.6279.6001.231834776365874788440767645596
1.3.6.1.4.1.14519.5.2.1.6279.6001.211028058202430803930155553655,1.3.6.1.4.1.14519.5.2.1.6279.6001.670107649586205629860363487713
1.3.6.1.4.1.14519.5.2.1.6279.6001.220989155161038735570528881205,1.3.6.1.4.1.14519.5.2.1.6279.6001.910607280658963002048724648683
1.3.6.1.4.1.14519.5.2.1.6279.6001.191073955214402396197702655759,1.3.6.1.4.1.14519.5.2.1.6279.6001.299767339686526858593516834230
1.3.6.1.4.1.14519.5.2.1.6279.6001.195975724868929317649402600442,1.3.6.1.4.1.14519.5.2.1.6279.6001.229343399861261429237689489892
